Label;Text
neutre; All  info is on the net for free.
negative;" But Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  "
negative; Hard to figure out how to use the music converter and photo stuff. 
positive; He used his energy and tallents to make a good product.
negative; I am very disappointed in the false advertising for this product
negative; I did not think this product was very easy to use
negative; I don't know  the problem with the software. 
negative; I find it extremely confusing.
negative; I give it no stars
positive; I love it.  
positive; I thought it would be a great product to have. 
negative; it has been a complete waste of money for me
positive; It have been worth the money.
neutre; It may be a breeze to those well versed in its use
neutre; It only took one day for me to find a mountain of problems.
positive; Really glad I paid money for it!!
negative; The basic functions are way worse .
negative; the soup was lukewarm.
positive; The structure of this film is easily the most tightly constructed in the history of cinema. 
positive; The themes are nice .
negative; they could only run on  computer
negative; This is definitely one of the worst products I have ever bought.
negative; This is the WORST company that I have ever delt with in my ENTIRE life.
positive; worked well !!!!!
negative; you may be disappointed.
positive;!I definitly recommend!!
negative;$50 Down the drain.
negative;(very serious spoilers) this movie was a huge disappointment.  
positive;:) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.  
positive;";) Recommend with confidence!  "
negative;[...] down the drain because of a weak snap!
negative;1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  
negative;1/10 - and only because there is no setting for 0/10.  
positive;10 out of 10 for both the movie and trilogy.  
positive;10 out of 10 stars.  
positive;2 thumbs up to this seller
negative;A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting.
negative;A Disappointment.
positive;A film not easily forgotten.  
negative;A FLY was in my apple juice.. A FLY!!!!!!!!
positive;A good commentary of today's love and undoubtedly a film worth seeing.  
positive;A good film by a great director!  
positive;A good quality bargain.
positive;A good time!
negative;A greasy, unhealthy meal.
positive;A great film by a great director.  
positive;A great touch.
positive;A great way to finish a great.
positive;a happy, wonderful, feel good ending!  
negative;A lady at the table next to us found a live green caterpillar In her salad.
negative;"A Lassie movie which should have been ""put to sleep"".... FOREVER.  "
positive;A lot of websites have been rating this a very good phone and so do I.
positive;A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances.
negative;"A must study for anyone interested in the ""worst sins"" of industrial design."
negative;A piece of cinematic garbage captured on celluloid.  
negative;A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
positive;A pretty good product.
positive;a small, great film.  
positive;A standout scene.  
negative;A truly, truly bad film.  
positive;A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
positive;A very charming film with wonderful sentiment and heart.  
positive;A very good film indeed, about great and unconditional love.  
negative;A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  
negative;A week later after I activated it, it suddenly died.
negative;About half way through this film I started to dislike it.  
negative;About ten minutes into this film I started having second thoughts.  
negative;Absolute junk.
positive;Absolutely great.
positive;Actually, the graphics were good at the time.  
negative;Adapter does not provide enough charging current.
negative;After 3 months, screen just went black all of a sudden.
negative;After a year the battery went completely dead on my headset.
negative;After all the rave reviews I couldn't wait to eat here......what a disappointment!
positive;After charging overnight, these batteries work great.
negative;After my phone got to be about a year old, it's been slowly breaking despite much care on my part.
negative;After receiving and using the product for just 2 days it broke.
negative;After the disappointing dinner we went elsewhere for dessert.
negative;AFter the first charge kept going dead after 12 minutes.
positive;After trying many many handsfree gadgets this is the one that finally works well.
negative;After two I felt disgusting.
negative;After waiting an hour and being seated, I was not in the greatest of moods.
positive;After watching this film, I wanted to learn more about the works of this artist.  
negative;Again, lame.  
negative;Again, no plot at all.  
neutre;Ah he'd rather work at home
positive;Alexander Nevsky is a great film.  
negative;All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.
positive;all I can say is WOW!
positive;All I have to say is the food was amazing!!!
positive;All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  
positive;All in all I give this one a resounding 9 out of 10.  
positive;All in all I think it was a good investment.
negative;All in all its an insult to one's intelligence and a huge waste of money.  
negative;All in all, a great disappointment.  
positive;All in all, I can assure you I'll be back.
negative;All in all, I'd expected a better consumer experience from Motorola.
positive;All in all, I'm quite satisfied with this purchase.
negative;All in all, the restaurant was a bit of a flop.
negative;All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
positive;All of the main players are mesmerising.  
positive;All the actors give a wonderful performance.  
positive;All the characters in this film are tremendously well played.  
positive;All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.
negative;All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  
positive;All things considered, a job very well done.  
negative;All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  
negative;All three broke within two months of use.
negative;Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  
negative;Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  
negative;Also difficult to put on.I'd recommend avoiding this product.
negative;Also the area where my unit broke. I'm not too fond of the magnetic strap.
negative;Also the story and acting were weak.  
negative;Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.
negative;Also, the fries are without a doubt the worst fries I've ever had.
negative;Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.
negative;Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.
positive;Always a great time at Dos Gringos!
positive;Always a pleasure dealing with him.
negative;AMAZON SUCKS.
positive;Ambiance and decor is nice and mellow .
positive;Ambience is perfect.
positive;An absolute must visit!
positive;An AMAZING finale to possibly the BEST trilogy of all time!  
positive;An Awesome New Look For Fall 2000!.
positive;An excellent new restaurant by an experienced Frenchman.
negative;An hour and a half I wish I could bring back.  
positive;An instant classic, with a great soundtrack and a catchy song during the ending credits.  
negative;And don't even get me started on the jerky camerawork.  
negative;And generally the lines and plot is weaker than the average episode.  
negative;And he just dived into the bloody office
positive;And his subtle connections between the three films are awesome.  
neutre;And I can't stop working
positive;And I just love the colors!
positive;And I really did find them funny.  
neutre;And I says are you still working tomorrow?
neutre;And I told him I want them back don't take them to the office
negative;And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  
neutre;And I'm working in March
negative;And it was boring.  
negative;And none of the tones is acceptable.
positive;And service was super friendly.
negative;And the accents are absolutely abysmal!  
negative;And the beans and rice were mediocre at best.
positive;And the chef was generous with his time (even came around twice so we can take pictures with him).
