Label;Text
neutral; All  info is on the net for free.
negative;" But Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  "
negative; Hard to figure out how to use the music converter and photo stuff. 
positive; He used his energy and tallents to make a good product.
negative; I am very disappointed in the false advertising for this product
negative; I did not think this product was very easy to use
negative; I don't know  the problem with the software. 
negative; I find it extremely confusing.
negative; I give it no stars
positive; I love it.  
positive; I thought it would be a great product to have. 
negative; it has been a complete waste of money for me
positive; It have been worth the money.
neutral; It may be a breeze to those well versed in its use
neutral; It only took one day for me to find a mountain of problems.
positive; Really glad I paid money for it!!
negative; The basic functions are way worse .
negative; the soup was lukewarm.
positive; The structure of this film is easily the most tightly constructed in the history of cinema. 
positive; The themes are nice .
negative; they could only run on  computer
negative; This is definitely one of the worst products I have ever bought.
negative; This is the WORST company that I have ever delt with in my ENTIRE life.
positive; worked well !!!!!
negative; you may be disappointed.
positive;!I definitly recommend!!
negative;$50 Down the drain.
negative;(very serious spoilers) this movie was a huge disappointment.  
positive;:) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.  
positive;";) Recommend with confidence!  "
negative;[...] down the drain because of a weak snap!
negative;1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  
negative;1/10 - and only because there is no setting for 0/10.  
positive;10 out of 10 for both the movie and trilogy.  
positive;10 out of 10 stars.  
positive;2 thumbs up to this seller
negative;A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting.
negative;A Disappointment.
positive;A film not easily forgotten.  
negative;A FLY was in my apple juice.. A FLY!!!!!!!!
positive;A good commentary of today's love and undoubtedly a film worth seeing.  
positive;A good film by a great director!  
positive;A good quality bargain.
positive;A good time!
negative;A greasy, unhealthy meal.
positive;A great film by a great director.  
positive;A great touch.
positive;A great way to finish a great.
positive;a happy, wonderful, feel good ending!  
negative;A lady at the table next to us found a live green caterpillar In her salad.
negative;"A Lassie movie which should have been ""put to sleep"".... FOREVER.  "
positive;A lot of websites have been rating this a very good phone and so do I.
positive;A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances.
negative;"A must study for anyone interested in the ""worst sins"" of industrial design."
negative;A piece of cinematic garbage captured on celluloid.  
negative;A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
positive;A pretty good product.
positive;a small, great film.  
positive;A standout scene.  
negative;A truly, truly bad film.  
positive;A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
positive;A very charming film with wonderful sentiment and heart.  
positive;A very good film indeed, about great and unconditional love.  
negative;A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  
negative;A week later after I activated it, it suddenly died.
negative;About half way through this film I started to dislike it.  
negative;About ten minutes into this film I started having second thoughts.  
negative;Absolute junk.
positive;Absolutely great.
positive;Actually, the graphics were good at the time.  
negative;Adapter does not provide enough charging current.
negative;After 3 months, screen just went black all of a sudden.
negative;After a year the battery went completely dead on my headset.
negative;After all the rave reviews I couldn't wait to eat here......what a disappointment!
positive;After charging overnight, these batteries work great.
negative;After my phone got to be about a year old, it's been slowly breaking despite much care on my part.
negative;After receiving and using the product for just 2 days it broke.
negative;After the disappointing dinner we went elsewhere for dessert.
negative;AFter the first charge kept going dead after 12 minutes.
positive;After trying many many handsfree gadgets this is the one that finally works well.
